Model,Stochastic Type,Background Size,Problem At
IMf20_,BillClintonEstimator,0,Reach-Timeout
IMf20_,AlignmentEstimator,0,Non-Existant
IM_,BillClintonEstimator,0,Reach-Timeout
IM_,AlignmentEstimator,0,Non-Existant
Heuristic_,BillClintonEstimator,0,Non-Existant
Heuristic_,AlignmentEstimator,1,CC-NoDeadlock
Flower_,BillClintonEstimator,4,CC-Timeout
Flower_,AlignmentEstimator,4,CC-Timeout
Alpha+_,BillClintonEstimator,0,Succes
Alpha+_,AlignmentEstimator,0,Succes
