Sensitive Activities,Background Size,Confidence Privacy
"('O_Sent (online only)', 'O_Refused', 'W_Shortened completion ')",1,685.004933617035
"('O_Sent (online only)', 'O_Refused', 'W_Shortened completion ')",2,668.1840793749499
"('O_Sent (online only)', 'O_Refused', 'W_Shortened completion ')",3,537.2380261040068
"('O_Sent (online only)', 'O_Refused', 'W_Shortened completion ')",4,412.94966473529877
"('O_Sent (online only)', 'O_Refused', 'A_Denied')",1,1.9742382412325714
"('O_Sent (online only)', 'O_Refused', 'A_Denied')",2,2.0782211908094115
"('O_Sent (online only)', 'O_Refused', 'A_Denied')",3,1.7549855722193224
"('O_Sent (online only)', 'O_Refused', 'A_Denied')",4,1.3679981662771372
"('O_Sent (online only)', 'O_Refused', 'W_Personal Loan collection')",1,1493216.2951524227
"('O_Sent (online only)', 'O_Refused', 'W_Personal Loan collection')",2,1420446.4528467844
"('O_Sent (online only)', 'O_Refused', 'W_Personal Loan collection')",3,1045190.1876043663
"('O_Sent (online only)', 'O_Refused', 'W_Personal Loan collection')",4,684366.9994136676
"('O_Sent (online only)', 'W_Assess potential fraud', 'W_Shortened completion ')",1,715.4423518938848
"('O_Sent (online only)', 'W_Assess potential fraud', 'W_Shortened completion ')",2,705.0942398130876
"('O_Sent (online only)', 'W_Assess potential fraud', 'W_Shortened completion ')",3,575.6210347241781
"('O_Sent (online only)', 'W_Assess potential fraud', 'W_Shortened completion ')",4,450.7412699178607
"('O_Sent (online only)', 'W_Assess potential fraud', 'A_Denied')",1,37.06052344979923
"('O_Sent (online only)', 'W_Assess potential fraud', 'A_Denied')",2,38.35933480424705
"('O_Sent (online only)', 'W_Assess potential fraud', 'A_Denied')",3,31.432221391831085
"('O_Sent (online only)', 'W_Assess potential fraud', 'A_Denied')",4,23.399141410087875
"('O_Sent (online only)', 'W_Assess potential fraud', 'W_Personal Loan collection')",1,1514924.1999679827
"('O_Sent (online only)', 'W_Assess potential fraud', 'W_Personal Loan collection')",2,1459016.0487827356
