Sensitive Activity,Background Size,Function,Background Odds,Percentage,Absolute,Confidence Privacy
O_Sent (online only),1,basic,True,True,True,0.10240309118029767
O_Sent (online only),1,basic,True,True,False,0.07744203878257006
O_Sent (online only),1,basic,True,False,True,0.005849933800645397
O_Sent (online only),1,basic,True,False,False,0.004423995360329622
O_Sent (online only),1,basic,False,True,True,0.29424285797438454
O_Sent (online only),1,basic,False,True,False,0.15232228825998578
O_Sent (online only),1,basic,False,False,True,0.0168090750056775
O_Sent (online only),1,basic,False,False,False,0.008701644573549603
O_Sent (online only),1,quadratic,True,True,True,0.022739838545671635
O_Sent (online only),1,quadratic,True,True,False,0.019687528423022765
O_Sent (online only),1,quadratic,True,False,True,7.421012218460823e-05
O_Sent (online only),1,quadratic,True,False,False,6.424908808614037e-05
O_Sent (online only),1,quadratic,False,True,True,0.1637127945341298
O_Sent (online only),1,quadratic,False,True,False,0.07460531485599782
O_Sent (online only),1,quadratic,False,False,True,0.0005342670512440352
O_Sent (online only),1,quadratic,False,False,False,0.00024347004575098858
O_Sent (online only),1,cubic,True,True,True,0.005751814460147751
O_Sent (online only),1,cubic,True,True,False,0.005337919595525796
O_Sent (online only),1,cubic,True,False,True,1.0723054739296868e-06
O_Sent (online only),1,cubic,True,False,False,9.951434354041763e-07
O_Sent (online only),1,cubic,False,True,True,0.1095835813600292
O_Sent (online only),1,cubic,False,True,False,0.041359419865133126
O_Sent (online only),1,cubic,False,False,True,2.0429566175915897e-05
O_Sent (online only),1,cubic,False,False,False,7.710598564543964e-06
O_Sent (online only),2,basic,True,True,True,0.1171663563496849
O_Sent (online only),2,basic,True,True,False,0.09402465091543506
O_Sent (online only),2,basic,True,False,True,0.006693307989127966
O_Sent (online only),2,basic,True,False,False,0.005371302537299922
O_Sent (online only),2,basic,False,True,True,0.5031328443575721
O_Sent (online only),2,basic,False,True,False,0.2871482626407291
O_Sent (online only),2,basic,False,False,True,0.028742236181523648
O_Sent (online only),2,basic,False,False,False,0.016403785355083043
O_Sent (online only),2,quadratic,True,True,True,0.028787053309422106
O_Sent (online only),2,quadratic,True,True,False,0.026063404910408303
O_Sent (online only),2,quadratic,True,False,True,9.39448509775667e-05
O_Sent (online only),2,quadratic,True,False,False,8.505638503385379e-05
O_Sent (online only),2,quadratic,False,True,True,0.4939453280725446
O_Sent (online only),2,quadratic,False,True,False,0.3435216108332708
O_Sent (online only),2,quadratic,False,False,True,0.0016119614514922423
O_Sent (online only),2,quadratic,False,False,False,0.001121062520377609
O_Sent (online only),2,cubic,True,True,True,0.00883204044568882
O_Sent (online only),2,cubic,True,True,False,0.00846339980585581
O_Sent (online only),2,cubic,True,False,True,1.6465491683536063e-06
O_Sent (online only),2,cubic,True,False,False,1.577823833288516e-06
O_Sent (online only),2,cubic,False,True,True,0.8425057478923758
O_Sent (online only),2,cubic,False,True,False,0.720771340105897
O_Sent (online only),2,cubic,False,False,True,0.00015706757085815463
O_Sent (online only),2,cubic,False,False,False,0.0001343727372992022
O_Sent (online only),3,basic,True,True,True,0.10820574430895477
O_Sent (online only),3,basic,True,True,False,0.09136031950592685
O_Sent (online only),3,basic,True,False,True,0.006181419269291834
O_Sent (online only),3,basic,True,False,False,0.005219098515048688
O_Sent (online only),3,basic,False,True,True,0.6560338192482935
O_Sent (online only),3,basic,False,True,False,0.39943267817437894
O_Sent (online only),3,basic,False,False,True,0.03747693911729738
O_Sent (online only),3,basic,False,False,False,0.022818204979970134
O_Sent (online only),3,quadratic,True,True,True,0.02871967304848838
O_Sent (online only),3,quadratic,True,True,False,0.026850812427918945
O_Sent (online only),3,quadratic,True,False,True,9.372495946924755e-05
O_Sent (online only),3,quadratic,True,False,False,8.762604303587417e-05
O_Sent (online only),3,quadratic,False,True,True,0.8297109068865641
O_Sent (online only),3,quadratic,False,True,False,0.6399689386167796
O_Sent (online only),3,quadratic,False,False,True,0.00270771261872807
O_Sent (online only),3,quadratic,False,False,False,0.0020885008938704504
O_Sent (online only),3,cubic,True,True,True,0.009850137201845929
O_Sent (online only),3,cubic,True,True,False,0.009599520430666983
O_Sent (online only),3,cubic,True,False,True,1.8363520092104284e-06
O_Sent (online only),3,cubic,True,False,False,1.789629755310236e-06
O_Sent (online only),3,cubic,False,True,True,1.7100280193892243
O_Sent (online only),3,cubic,False,True,False,1.551569063255069
O_Sent (online only),3,cubic,False,False,True,0.00031879894917839123
O_Sent (online only),3,cubic,False,False,False,0.0002892575918844233
O_Sent (online only),4,basic,True,True,True,0.09501663654450103
