Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC,Max K,Max C
"['Declaration FOR_APPROVAL by ADMINISTRATION', 'Declaration FOR_APPROVAL by PRE_APPROVER', 'Declaration FOR_APPROVAL by SUPERVISOR', 'Declaration REJECTED by BUDGET OWNER']",1,0.3198781712890284,4.158416226757369,13,81,0.04785478547854786
"['Declaration FOR_APPROVAL by ADMINISTRATION', 'Declaration FOR_APPROVAL by PRE_APPROVER', 'Declaration FOR_APPROVAL by SUPERVISOR', 'Declaration REJECTED by BUDGET OWNER']",2,0.3509620064198839,27.02407449433106,77,1,0.08787878787878788
"['Declaration FOR_APPROVAL by ADMINISTRATION', 'Declaration FOR_APPROVAL by PRE_APPROVER', 'Declaration FOR_APPROVAL by SUPERVISOR', 'Declaration REJECTED by BUDGET OWNER']",3,0.3683031747120183,92.07579367800457,250,1,0.13333333333333333
"['Declaration FOR_APPROVAL by ADMINISTRATION', 'Declaration FOR_APPROVAL by PRE_APPROVER', 'Declaration FOR_APPROVAL by SUPERVISOR', 'Declaration REJECTED by BUDGET OWNER']",4,0.38133783219954603,202.49038889795895,531,1,0.18181818181818182
