Sensitive Activities,Background Size,Confidence Privacy
"['Declaration FOR_APPROVAL by ADMINISTRATION', 'Declaration FOR_APPROVAL by PRE_APPROVER', 'Declaration FOR_APPROVAL by SUPERVISOR', 'Declaration REJECTED by BUDGET OWNER', 'Declaration REJECTED by PRE_APPROVER']",1,858321.8278937732
"['Declaration FOR_APPROVAL by ADMINISTRATION', 'Declaration FOR_APPROVAL by PRE_APPROVER', 'Declaration FOR_APPROVAL by SUPERVISOR', 'Declaration REJECTED by BUDGET OWNER', 'Declaration REJECTED by PRE_APPROVER']",2,803493.9112509261
"['Declaration FOR_APPROVAL by ADMINISTRATION', 'Declaration FOR_APPROVAL by PRE_APPROVER', 'Declaration FOR_APPROVAL by SUPERVISOR', 'Declaration REJECTED by BUDGET OWNER', 'Declaration REJECTED by PRE_APPROVER']",3,623457.0137008292
"['Declaration FOR_APPROVAL by ADMINISTRATION', 'Declaration FOR_APPROVAL by PRE_APPROVER', 'Declaration FOR_APPROVAL by SUPERVISOR', 'Declaration REJECTED by BUDGET OWNER', 'Declaration REJECTED by PRE_APPROVER']",4,460167.15037555527
