Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC,Max K,Max C
"['Appeal to Judge', 'Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Send Appeal to Prefecture']",1,0.08925601877945533,0.535536112676732,6,59013,0.050626095667417985
"['Appeal to Judge', 'Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Send Appeal to Prefecture']",2,0.09989302610163156,2.097753548134263,21,2126,0.050626095667417985
"['Appeal to Judge', 'Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Send Appeal to Prefecture']",3,0.09092389900388691,3.7278798591593634,41,2126,0.050626095667417985
"['Appeal to Judge', 'Insert Date Appeal to Prefecture', 'Notify Result Appeal to Offender', 'Receive Result Appeal from Prefecture', 'Send Appeal to Prefecture']",4,0.07962823167722634,4.459180973924675,56,2126,0.050626095667417985
