Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC,Max K,Max C
"['O_DECLINED', 'W_Beoordelen fraude', 'W_Nabellen incomplete dossiers', 'W_Wijzigen contractgegevens']",1,0.34215837908312896,6.84316758166258,20,2243,0.548372715113687
"['O_DECLINED', 'W_Beoordelen fraude', 'W_Nabellen incomplete dossiers', 'W_Wijzigen contractgegevens']",2,0.42158319143900264,84.73822147923953,201,158,1.0
"['O_DECLINED', 'W_Beoordelen fraude', 'W_Nabellen incomplete dossiers', 'W_Wijzigen contractgegevens']",3,0.43062364525598357,516.3177506619243,1199,34,1.0
"['O_DECLINED', 'W_Beoordelen fraude', 'W_Nabellen incomplete dossiers', 'W_Wijzigen contractgegevens']",4,0.4145384421464569,2067.3032109843807,4987,34,1.0
