Model,Stochastic Type,Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC,Max C
Alpha+_,BillClintonEstimator,"('A_DECLINED', 'A_CANCELLED', 'A_APPROVED')",1,0.0,0.0,3,0.0
Alpha+_,BillClintonEstimator,"('A_DECLINED', 'A_CANCELLED', 'A_APPROVED')",2,0.0,0.0,6,0.0
Alpha+_,BillClintonEstimator,"('A_DECLINED', 'A_CANCELLED', 'A_APPROVED')",3,0.0,0.0,7,0.0
Alpha+_,BillClintonEstimator,"('A_DECLINED', 'A_CANCELLED', 'A_APPROVED')",4,0.0,0.0,7,0.0
Alpha+_,AlignmentEstimator,"('A_DECLINED', 'A_CANCELLED', 'A_APPROVED')",1,0.0,0.0,0,0.0
Alpha+_,AlignmentEstimator,"('A_DECLINED', 'A_CANCELLED', 'A_APPROVED')",2,0.0,0.0,0,0.0
Alpha+_,AlignmentEstimator,"('A_DECLINED', 'A_CANCELLED', 'A_APPROVED')",3,0.0,0.0,0,0.0
Alpha+_,AlignmentEstimator,"('A_DECLINED', 'A_CANCELLED', 'A_APPROVED')",4,0.0,0.0,0,0.0
Heuristic_,BillClintonEstimator,"('A_DECLINED', 'A_CANCELLED', 'A_APPROVED')",1,0.0,0.0,0,0.0
Heuristic_,AlignmentEstimator,"('A_DECLINED', 'A_CANCELLED', 'A_APPROVED')",1,2.4700492410716342e-33,1.729034468750144e-32,7,1.0000000000000007
Flower_,BillClintonEstimator,"('A_DECLINED', 'A_CANCELLED', 'A_APPROVED')",1,0.021316910734678986,0.4476551254282587,21,0.05823776415803144
Flower_,BillClintonEstimator,"('A_DECLINED', 'A_CANCELLED', 'A_APPROVED')",2,0.0026318104326490824,0.607948209941938,231,0.08735664623704717
Flower_,BillClintonEstimator,"('A_DECLINED', 'A_CANCELLED', 'A_APPROVED')",3,0.000418871338702198,0.6538581597141311,1561,0.1164755283160629
Flower_,AlignmentEstimator,"('A_DECLINED', 'A_CANCELLED', 'A_APPROVED')",1,0.018430101889580552,0.3870321396811916,21,0.05546938286224922
Flower_,AlignmentEstimator,"('A_DECLINED', 'A_CANCELLED', 'A_APPROVED')",2,0.002228589922067292,0.5148042719975444,231,0.08320407429337386
Flower_,AlignmentEstimator,"('A_DECLINED', 'A_CANCELLED', 'A_APPROVED')",3,0.0003512306873070848,0.5482711028863594,1561,0.11093876572449847
