Sensitive Activities,Background Size,Confidence Privacy,Upper CC,Lower CC,Max K,Max C
"['Permit REJECTED by ADMINISTRATION', 'Permit REJECTED by PRE_APPROVER', 'Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment REJECTED by MISSING']",1,0.1458892782516918,3.647231956292295,25,15,0.19736842105263158
"['Permit REJECTED by ADMINISTRATION', 'Permit REJECTED by PRE_APPROVER', 'Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment REJECTED by MISSING']",2,0.11397859647640064,30.774221048628174,270,1,1.0
"['Permit REJECTED by ADMINISTRATION', 'Permit REJECTED by PRE_APPROVER', 'Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment REJECTED by MISSING']",3,0.07822052904298143,118.26943991298793,1512,1,1.0
"['Permit REJECTED by ADMINISTRATION', 'Permit REJECTED by PRE_APPROVER', 'Request For Payment REJECTED by BUDGET OWNER', 'Request For Payment REJECTED by MISSING']",4,0.052325053947588636,284.38666820514425,5435,1,1.0
