Sensitive Activity,Background Size,Function,Background Odds,Percentage,Absolute,Confidence Privacy
CODE ERROR,1,cubic,False,True,False,8133.66919424134
CODE ERROR,1,cubic,False,False,True,2.446369523185325e-06
CODE ERROR,1,cubic,False,False,False,2.4463067478676084e-06
CODE ERROR,2,basic,True,True,True,0.1892288385802082
CODE ERROR,2,basic,True,True,False,0.18837872193653588
CODE ERROR,2,basic,True,False,True,0.0001267833218487395
CODE ERROR,2,basic,True,False,False,0.00012621374369747905
CODE ERROR,2,basic,False,True,True,63.582121408431824
CODE ERROR,2,basic,False,True,False,63.2354229475711
CODE ERROR,2,basic,False,False,True,0.042600021343649354
CODE ERROR,2,basic,False,False,False,0.04236773337487262
CODE ERROR,2,quadratic,True,True,True,0.0989709218909696
CODE ERROR,2,quadratic,True,True,False,0.09893151795556218
CODE ERROR,2,quadratic,True,False,True,4.442804683685623e-08
CODE ERROR,2,quadratic,True,False,False,4.441035841025185e-08
CODE ERROR,2,quadratic,False,True,True,39948.46360160901
CODE ERROR,2,quadratic,False,True,False,39948.120891509876
CODE ERROR,2,quadratic,False,False,True,0.017932865310762307
CODE ERROR,2,quadratic,False,False,False,0.017932711468198793
CODE ERROR,2,cubic,True,True,True,0.06716735335851098
CODE ERROR,2,cubic,True,True,False,0.06716478439493398
CODE ERROR,2,cubic,True,False,True,2.020145469816585e-11
CODE ERROR,2,cubic,True,False,False,2.0200682048973543e-11
CODE ERROR,2,cubic,False,True,True,38577135.4077581
CODE ERROR,2,cubic,False,True,False,38577135.06674838
CODE ERROR,2,cubic,False,False,True,0.011602574976643541
CODE ERROR,2,cubic,False,False,False,0.011602574874080443
CODE ERROR,3,basic,True,True,True,0.13363410332443765
CODE ERROR,3,basic,True,True,False,0.1333577915060459
CODE ERROR,3,basic,True,False,True,8.953484922737289e-05
CODE ERROR,3,basic,True,False,False,8.934972030905066e-05
CODE ERROR,3,basic,False,True,True,120.40095074431302
CODE ERROR,3,basic,False,True,False,119.95848127712041
CODE ERROR,3,basic,False,False,True,0.0806686369986895
CODE ERROR,3,basic,False,False,False,0.08037218245567064
CODE ERROR,3,quadratic,True,True,True,0.06194928823514808
CODE ERROR,3,quadratic,True,True,False,0.061948066901371134
CODE ERROR,3,quadratic,True,False,True,2.7809035488758037e-08
CODE ERROR,3,quadratic,True,False,False,2.7808487232025505e-08
